Reserva Franquias,,Reserva Flamboyant (F) (Cobrança 6 em 6 meses),52.698.517/0001-08,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Rio Verde Buriti (F) (Cobrança 6 em 6 meses),39.167.396/0001-00,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Shopping Goiânia (F) (Cobrança 6 em 6 meses),52.754.665/0001-94,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Shopping Villagio Caxias do Sul (F),61.432.682/0001-04,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Shopping cariri (F),61.502.655/0001-52,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Volta Redonda (F),52.026.537/0001-24,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Terraço Shopping (F),48.354.055/0002-07,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Del Rey (F),51.762.303/0001-82,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Shopping Uberlandia (F),39.668.551/0001-63,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Litoral Plaza Praia Grande,20.920.086/0001-88,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Manaus (F) ,23.528.068/0001-43,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Shopping Boulevard Belém (F),19.851.173/0001-41,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Uberlândia (F),27.095.226/0001-70,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Cuiabá (F),31.086.417/0001-42,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Balneário (F),31.071.318/0001-97,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Ilha Plaza (F),31.840.524/0001-14,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Campo Grande - MS (F),33.613.758/0001-54,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Maranhão (F),33.786.750/0001-90,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Natal  (F),34.623.968/0001-96,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva - Maceió,31.974.354/0001-60,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva - Florianópolis,35.002.544/0001-77,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva - Riomar Aracajú (F),26.427.314/0001-69,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Feira de Santana,37.527.524/0001-45,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva - Balneário 2 (F),38.403.132/0001-37,Cobrando,"R$27,00",1,Moda
